Date	China AQI	US aqi
1/1/2014	85	125.375
1/2/2014	158	218.6666667
1/3/2014	74	127.8333333
1/4/2014	165	213.7083333
1/5/2014	113	167.9583333
1/6/2014	190	204.2083333
1/7/2014	122	178.125
1/8/2014	32	65.91666667
1/9/2014	49	92.79166667
1/10/2014	95	160.2916667
1/11/2014	159	218.3333333
1/12/2014	52	77
1/13/2014	117	190.5833333
1/14/2014	113	190.75
1/15/2014	180	249.7083333
1/16/2014	403	465.5
1/17/2014	209	228.2083333
1/18/2014	113	134.6666667
1/19/2014	149	185.1666667
1/20/2014	33	42.5
1/21/2014	68	95.91666667
1/22/2014	162	213.5454545
1/23/2014	276	339.125
1/24/2014	195	221.1666667
1/25/2014	50	98.91666667
1/26/2014	77	122.9166667
1/27/2014	114	156.9166667
1/28/2014	67	109.375
1/29/2014	165	208.625
1/30/2014	93	126.375
1/31/2014	188	220.7916667
2/1/2014	178	210.875
2/2/2014	85	117.7916667
2/3/2014	38	30.625
2/4/2014	47	63.45833333
2/5/2014	119	175.3333333
2/6/2014	158	202.125
2/7/2014	124	175.25
2/8/2014	84	108.2083333
2/9/2014	34	51.625
2/10/2014	53	74
2/11/2014	142	192.4166667
2/12/2014	150	204.9583333
2/13/2014	242	261.1666667
2/14/2014	329	332.0416667
2/15/2014	429	408.2083333
2/16/2014	348	322.0833333
2/17/2014	118	161.875
2/18/2014	98	148.0869565
2/19/2014	92	140.8333333
2/20/2014	270	305.3478261
2/21/2014	311	379
2/22/2014	311	387.4166667
2/23/2014	255	342.7826087
2/24/2014	313	398.9583333
2/25/2014	404	461.9166667
2/26/2014		421.3333333
2/27/2014	37	67.20833333
2/28/2014	113	169.9583333
3/1/2014	68	142.2083333
3/2/2014	189	208.0416667
3/3/2014	268	295.2083333
3/4/2014	67	95.45833333
3/5/2014	50	78.20833333
3/6/2014	43	62.5
3/7/2014	70	131.7916667
3/8/2014	179	227.4166667
3/9/2014	127	188.1304348
3/10/2014	110	173.5416667
3/11/2014	195	253.4583333
3/12/2014	41	61.875
3/13/2014	69	73.70833333
3/14/2014	64	72.16666667
3/15/2014	133	180.5
3/16/2014	145	189
3/17/2014	142	145.875
3/18/2014	85	106.1666667
3/19/2014	73	134.6666667
3/20/2014	44	42.04166667
3/21/2014	62	78.56521739
3/22/2014	86	131.5
3/23/2014	186	207.5
3/24/2014	271	293.9166667
3/25/2014	255	278.4166667
3/26/2014	331	354.25
3/27/2014	285	321.4583333
3/28/2014	169	207.5
3/29/2014	63	103.2916667
3/30/2014	77	97.79166667
3/31/2014	183	210.6666667
4/1/2014	147	199
4/2/2014	133	178
4/3/2014	66	75.54166667
4/4/2014	91	95.20833333
4/5/2014	68	77.25
4/6/2014	98	140.2083333
4/7/2014	135	171.4583333
4/8/2014	223	220.5833333
